TestID,Scenario,SortMode,BiasFactor,BiasCap,VoxelSize,TileSize,AvgLength,Cohesion,TimeMs
151,Lonely Tree,Alvo,0.90,0.50,0.050,64,19.39,12.0417,0
152,Lonely Tree,Alvo,0.90,0.50,0.050,128,19.46,13.5714,0
153,Lonely Tree,Alvo,0.90,0.50,0.100,16,19.66,9.3571,2
154,Lonely Tree,Alvo,0.90,0.50,0.100,32,19.38,12.0417,1
155,Lonely Tree,Alvo,0.90,0.50,0.100,64,19.45,13.5714,0
156,Lonely Tree,Alvo,0.90,0.50,0.100,128,19.33,14.7500,0
157,Lonely Tree,Alvo,0.90,0.50,0.160,16,19.65,13.0741,1
158,Lonely Tree,Alvo,0.90,0.50,0.160,32,19.89,14.2857,0
159,Lonely Tree,Alvo,0.90,0.50,0.160,64,23.50,13.4000,0
160,Lonely Tree,Alvo,0.90,0.50,0.160,128,19.50,14.6250,0
161,Lonely Tree,Alvo,0.90,0.75,0.020,16,22.15,10.2894,105
162,Lonely Tree,Alvo,0.90,0.75,0.020,32,20.33,8.5556,23
163,Lonely Tree,Alvo,0.90,0.75,0.020,64,19.79,8.5067,4
164,Lonely Tree,Alvo,0.90,0.75,0.020,128,19.59,10.6970,1
165,Lonely Tree,Alvo,0.90,0.75,0.050,16,21.25,11.2614,20
166,Lonely Tree,Alvo,0.90,0.75,0.050,32,19.46,9.1930,3
167,Lonely Tree,Alvo,0.90,0.75,0.050,64,19.36,10.2857,1
168,Lonely Tree,Alvo,0.90,0.75,0.050,128,19.07,13.2857,0
169,Lonely Tree,Alvo,0.90,0.75,0.100,16,19.62,9.3571,2
170,Lonely Tree,Alvo,0.90,0.75,0.100,32,19.35,10.2500,4
171,Lonely Tree,Alvo,0.90,0.75,0.100,64,19.07,13.2857,0
172,Lonely Tree,Alvo,0.90,0.75,0.100,128,19.33,14.7500,0
173,Lonely Tree,Alvo,0.90,0.75,0.160,16,19.66,11.3871,1
174,Lonely Tree,Alvo,0.90,0.75,0.160,32,19.91,12.1875,0
175,Lonely Tree,Alvo,0.90,0.75,0.160,64,23.50,11.9091,0
176,Lonely Tree,Alvo,0.90,0.75,0.160,128,19.50,14.6250,0
177,Lonely Tree,Alvo,0.90,1.00,0.020,16,20.79,3.2419,360
178,Lonely Tree,Alvo,0.90,1.00,0.020,32,19.57,3.8052,46
179,Lonely Tree,Alvo,0.90,1.00,0.020,64,19.09,5.1667,16
180,Lonely Tree,Alvo,0.90,1.00,0.020,128,19.09,8.2683,2
181,Lonely Tree,Alvo,0.90,1.00,0.050,16,19.71,3.4323,34
182,Lonely Tree,Alvo,0.90,1.00,0.050,32,19.08,5.7303,5
183,Lonely Tree,Alvo,0.90,1.00,0.050,64,18.97,7.9143,1
184,Lonely Tree,Alvo,0.90,1.00,0.050,128,19.02,13.1429,0
185,Lonely Tree,Alvo,0.90,1.00,0.100,16,19.07,5.4362,4
186,Lonely Tree,Alvo,0.90,1.00,0.100,32,18.89,7.2973,1
187,Lonely Tree,Alvo,0.90,1.00,0.100,64,19.02,13.1429,0
188,Lonely Tree,Alvo,0.90,1.00,0.100,128,19.33,14.7500,0
189,Lonely Tree,Alvo,0.90,1.00,0.160,16,19.07,7.8837,1
190,Lonely Tree,Alvo,0.90,1.00,0.160,32,19.74,12.0000,0
191,Lonely Tree,Alvo,0.90,1.00,0.160,64,23.50,11.9091,0
192,Lonely Tree,Alvo,0.90,1.00,0.160,128,19.50,14.6250,3
193,Lonely Tree,Alvo,0.95,0.01,0.020,16,20.94,6.4650,108
194,Lonely Tree,Alvo,0.95,0.01,0.020,32,19.75,6.6796,21
195,Lonely Tree,Alvo,0.95,0.01,0.020,64,19.58,7.5595,4
196,Lonely Tree,Alvo,0.95,0.01,0.020,128,19.59,10.6667,1
197,Lonely Tree,Alvo,0.95,0.01,0.050,16,20.80,6.8322,23
198,Lonely Tree,Alvo,0.95,0.01,0.050,32,19.65,8.2813,2
199,Lonely Tree,Alvo,0.95,0.01,0.050,64,19.31,10.2857,1
200,Lonely Tree,Alvo,0.95,0.01,0.050,128,19.46,13.5714,0
201,Lonely Tree,Alvo,0.95,0.01,0.100,16,19.46,8.0308,2
202,Lonely Tree,Alvo,0.95,0.01,0.100,32,19.30,10.2500,0
203,Lonely Tree,Alvo,0.95,0.01,0.100,64,19.45,13.5714,0
204,Lonely Tree,Alvo,0.95,0.01,0.100,128,19.33,14.7500,0
205,Lonely Tree,Alvo,0.95,0.01,0.160,16,19.57,10.6667,1
206,Lonely Tree,Alvo,0.95,0.01,0.160,32,19.68,12.2500,3
207,Lonely Tree,Alvo,0.95,0.01,0.160,64,23.50,13.4000,0
208,Lonely Tree,Alvo,0.95,0.01,0.160,128,19.50,14.6250,0
209,Lonely Tree,Alvo,0.95,0.50,0.020,16,20.94,6.4650,102
210,Lonely Tree,Alvo,0.95,0.50,0.020,32,19.75,6.6796,18
211,Lonely Tree,Alvo,0.95,0.50,0.020,64,19.58,7.5595,4
212,Lonely Tree,Alvo,0.95,0.50,0.020,128,19.59,10.6667,1
213,Lonely Tree,Alvo,0.95,0.50,0.050,16,20.80,6.8322,16
214,Lonely Tree,Alvo,0.95,0.50,0.050,32,19.65,8.2813,6
215,Lonely Tree,Alvo,0.95,0.50,0.050,64,19.31,10.2857,1
216,Lonely Tree,Alvo,0.95,0.50,0.050,128,19.46,13.5714,0
217,Lonely Tree,Alvo,0.95,0.50,0.100,16,19.46,8.0308,2
218,Lonely Tree,Alvo,0.95,0.50,0.100,32,19.30,10.2500,0
219,Lonely Tree,Alvo,0.95,0.50,0.100,64,19.45,13.5714,0
220,Lonely Tree,Alvo,0.95,0.50,0.100,128,19.33,14.7500,0
221,Lonely Tree,Alvo,0.95,0.50,0.160,16,19.57,10.6667,1
222,Lonely Tree,Alvo,0.95,0.50,0.160,32,19.68,12.2500,0
223,Lonely Tree,Alvo,0.95,0.50,0.160,64,23.50,13.4000,0
224,Lonely Tree,Alvo,0.95,0.50,0.160,128,19.50,14.6250,0
225,Lonely Tree,Alvo,0.95,0.75,0.020,16,20.94,6.4650,109
226,Lonely Tree,Alvo,0.95,0.75,0.020,32,19.75,6.6796,27
227,Lonely Tree,Alvo,0.95,0.75,0.020,64,19.58,7.5595,4
228,Lonely Tree,Alvo,0.95,0.75,0.020,128,19.59,10.6667,1
229,Lonely Tree,Alvo,0.95,0.75,0.050,16,20.83,6.7379,18
230,Lonely Tree,Alvo,0.95,0.75,0.050,32,19.68,8.2813,3
231,Lonely Tree,Alvo,0.95,0.75,0.050,64,19.31,10.2857,0
232,Lonely Tree,Alvo,0.95,0.75,0.050,128,19.42,13.5000,0
233,Lonely Tree,Alvo,0.95,0.75,0.100,16,19.46,8.0308,3
234,Lonely Tree,Alvo,0.95,0.75,0.100,32,19.30,10.2500,1
235,Lonely Tree,Alvo,0.95,0.75,0.100,64,19.41,13.5000,0
236,Lonely Tree,Alvo,0.95,0.75,0.100,128,19.33,14.7500,0
237,Lonely Tree,Alvo,0.95,0.75,0.160,16,19.57,10.6667,1
238,Lonely Tree,Alvo,0.95,0.75,0.160,32,19.82,12.1875,0
239,Lonely Tree,Alvo,0.95,0.75,0.160,64,23.50,12.0909,0
240,Lonely Tree,Alvo,0.95,0.75,0.160,128,19.50,14.6250,0
241,Lonely Tree,Alvo,0.95,1.00,0.020,16,20.79,3.2419,346
242,Lonely Tree,Alvo,0.95,1.00,0.020,32,19.57,3.8052,65
243,Lonely Tree,Alvo,0.95,1.00,0.020,64,19.09,5.1667,8
244,Lonely Tree,Alvo,0.95,1.00,0.020,128,19.09,8.2683,1
245,Lonely Tree,Alvo,0.95,1.00,0.050,16,19.71,3.4323,28
246,Lonely Tree,Alvo,0.95,1.00,0.050,32,19.08,5.7303,8
247,Lonely Tree,Alvo,0.95,1.00,0.050,64,18.97,7.9143,1
248,Lonely Tree,Alvo,0.95,1.00,0.050,128,19.02,13.1429,0
249,Lonely Tree,Alvo,0.95,1.00,0.100,16,19.07,5.4362,4
250,Lonely Tree,Alvo,0.95,1.00,0.100,32,18.89,7.2973,1
251,Lonely Tree,Alvo,0.95,1.00,0.100,64,19.02,13.1429,0
252,Lonely Tree,Alvo,0.95,1.00,0.100,128,19.33,14.7500,0
253,Lonely Tree,Alvo,0.95,1.00,0.160,16,19.07,7.8837,1
254,Lonely Tree,Alvo,0.95,1.00,0.160,32,19.74,12.0000,0
255,Lonely Tree,Alvo,0.95,1.00,0.160,64,23.50,11.9091,3
256,Lonely Tree,Alvo,0.95,1.00,0.160,128,19.50,14.6250,0
257,Chinese Wall,Alvo,0.50,0.01,0.020,16,26.72,12.0873,71
258,Chinese Wall,Alvo,0.50,0.01,0.020,32,26.82,13.2250,18
259,Chinese Wall,Alvo,0.50,0.01,0.020,64,26.08,14.5158,5
260,Chinese Wall,Alvo,0.50,0.01,0.020,128,25.91,14.8209,2
261,Chinese Wall,Alvo,0.50,0.01,0.050,16,26.40,12.7349,14
262,Chinese Wall,Alvo,0.50,0.01,0.050,32,25.88,14.1750,3
263,Chinese Wall,Alvo,0.50,0.01,0.050,64,26.06,14.5574,1
264,Chinese Wall,Alvo,0.50,0.01,0.050,128,26.13,16.0417,1
265,Chinese Wall,Alvo,0.50,0.01,0.100,16,25.86,14.4557,3
266,Chinese Wall,Alvo,0.50,0.01,0.100,32,26.05,14.7049,1
267,Chinese Wall,Alvo,0.50,0.01,0.100,64,26.12,16.0417,1
268,Chinese Wall,Alvo,0.50,0.01,0.100,128,27.39,17.1463,1
269,Chinese Wall,Alvo,0.50,0.01,0.160,16,25.88,14.8209,2
270,Chinese Wall,Alvo,0.50,0.01,0.160,32,25.92,16.4808,1
271,Chinese Wall,Alvo,0.50,0.01,0.160,64,25.81,17.2046,1
272,Chinese Wall,Alvo,0.50,0.01,0.160,128,26.48,16.7949,0
273,Chinese Wall,Alvo,0.50,0.50,0.020,16,26.72,11.9238,75
274,Chinese Wall,Alvo,0.50,0.50,0.020,32,26.78,12.9693,20
275,Chinese Wall,Alvo,0.50,0.50,0.020,64,26.08,14.5158,4
276,Chinese Wall,Alvo,0.50,0.50,0.020,128,25.91,14.8209,2
277,Chinese Wall,Alvo,0.50,0.50,0.050,16,26.41,12.7349,9
278,Chinese Wall,Alvo,0.50,0.50,0.050,32,25.88,14.1750,3
279,Chinese Wall,Alvo,0.50,0.50,0.050,64,26.06,14.5574,1
280,Chinese Wall,Alvo,0.50,0.50,0.050,128,26.13,16.0417,1
281,Chinese Wall,Alvo,0.50,0.50,0.100,16,25.86,14.0988,6
282,Chinese Wall,Alvo,0.50,0.50,0.100,32,26.05,14.7049,1
283,Chinese Wall,Alvo,0.50,0.50,0.100,64,26.12,16.0417,1
284,Chinese Wall,Alvo,0.50,0.50,0.100,128,27.39,17.1463,1
285,Chinese Wall,Alvo,0.50,0.50,0.160,16,25.88,14.8209,1
286,Chinese Wall,Alvo,0.50,0.50,0.160,32,25.88,16.4423,1
287,Chinese Wall,Alvo,0.50,0.50,0.160,64,25.81,17.2046,1
288,Chinese Wall,Alvo,0.50,0.50,0.160,128,26.48,16.7949,0
289,Chinese Wall,Alvo,0.50,0.75,0.020,16,26.68,11.6786,65
290,Chinese Wall,Alvo,0.50,0.75,0.020,32,26.61,12.6108,15
291,Chinese Wall,Alvo,0.50,0.75,0.020,64,26.01,13.7400,7
292,Chinese Wall,Alvo,0.50,0.75,0.020,128,25.95,14.7761,2
293,Chinese Wall,Alvo,0.50,0.75,0.050,16,26.42,11.8582,14
294,Chinese Wall,Alvo,0.50,0.75,0.050,32,25.87,14.1625,3
295,Chinese Wall,Alvo,0.50,0.75,0.050,64,26.01,14.5574,1
296,Chinese Wall,Alvo,0.50,0.75,0.050,128,25.86,15.6531,1
297,Chinese Wall,Alvo,0.50,0.75,0.100,16,25.85,14.0864,9
298,Chinese Wall,Alvo,0.50,0.75,0.100,32,26.00,14.6885,1
299,Chinese Wall,Alvo,0.50,0.75,0.100,64,25.85,15.6531,1
300,Chinese Wall,Alvo,0.50,0.75,0.100,128,27.15,16.2558,1
301,Chinese Wall,Alvo,0.50,0.75,0.160,16,25.91,14.7761,1
302,Chinese Wall,Alvo,0.50,0.75,0.160,32,25.68,16.3269,1
303,Chinese Wall,Alvo,0.50,0.75,0.160,64,25.62,16.2826,1
304,Chinese Wall,Alvo,0.50,0.75,0.160,128,26.48,16.7949,0
305,Chinese Wall,Alvo,0.50,1.00,0.020,16,26.25,6.4428,337
306,Chinese Wall,Alvo,0.50,1.00,0.020,32,25.88,6.6149,40
307,Chinese Wall,Alvo,0.50,1.00,0.020,64,26.03,12.5413,12
308,Chinese Wall,Alvo,0.50,1.00,0.020,128,25.80,14.5294,3
309,Chinese Wall,Alvo,0.50,1.00,0.050,16,26.35,10.6774,28
310,Chinese Wall,Alvo,0.50,1.00,0.050,32,25.80,13.6145,5
311,Chinese Wall,Alvo,0.50,1.00,0.050,64,25.69,8.4808,1
312,Chinese Wall,Alvo,0.50,1.00,0.050,128,25.86,15.6531,1
313,Chinese Wall,Alvo,0.50,1.00,0.100,16,25.82,13.5476,4
314,Chinese Wall,Alvo,0.50,1.00,0.100,32,25.68,8.4762,2
